brand_key,brand_name,classification,country_of_origin,notes,confirmed,suggested_by,first_seen_run,updated_at
aveeno,Aveeno,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bathbodyworks,Bath & Body Works,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
biooil,Bio-Oil,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bioderma,Bioderma,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cerave,CeraVe,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cetaphil,Cetaphil,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cleanclear,Clean & Clear,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
dove,Dove,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
embryolisse,Embryolisse,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
eucerin,Eucerin,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
garnier,Garnier,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
garniermen,Garnier Men,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
garnierskinnaturals,Garnier Skin Naturals,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
himalaya,Himalaya,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
kiehls,Kiehls,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
lorealparis,L'Oreal Paris,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
maybellinenewyork,Maybelline New York,Global,,,false,seed:global,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
milani,Milani,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
neutrogena,Neutrogena,Global,,,false,seed:global,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
nivea,Nivea,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
niveamen,Nivea Men,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
olay,Olay,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
paulaschoice,Paula's Choice,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
ponds,Pond's,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
revlon,Revlon,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
sebamed,Sebamed,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
simple,Simple,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
thebodyshop,The Body Shop,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
vaseline,Vaseline,Global,,,false,seed:global,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
venusia,Venusia,Global,,,false,seed:global,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
anua,Anua,Korean,,,false,seed:korean,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
axisy,Axis-Y,Korean,,,false,seed:korean,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
beautyofjoseon,Beauty of Joseon,Korean,,,false,seed:korean,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
biodance,Biodance,Korean,,,false,seed:korean,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
cosrx,COSRX,Korean,,,false,seed:korean,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
etude,Etude,Korean,South Korea,competitor,true,seed:focus,2026-09-09T2044Z,2026-09-09T20:44:39+00:00
etudehouse,Etude House,Korean,South Korea,competitor,true,seed:focus,,2026-09-09T20:44:39+00:00
imfrom,I'm From,Korean,,,false,seed:korean,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
innisfree,Innisfree,Korean,South Korea,focus brand,true,seed:focus,2026-09-09T2105Z,2026-09-09T20:44:39+00:00
